Episode,Step,X,Y,Reward,Done
0,0,0,1,0.15,false
0,1,0,0,0.12,false
0,2,0,0,-0.008,false
0,3,1,0,0.15,false
0,4,0,0,0.12,false
0,5,1,0,0.15,false
0,6,0,0,0.12,false
0,7,1,0,0.15,false
0,8,2,0,0.18,false
0,9,1,0,0.15,false
0,10,2,0,0.18,false
0,11,2,0,-0.008,false
0,12,2,0,-0.008,false
0,13,3,0,0.21,false
0,14,3,0,-0.008,false
0,15,2,0,0.18,false
0,16,1,0,0.15,false
0,17,2,0,0.18,false
0,18,3,0,0.21,false
0,19,3,0,-0.008,false
0,20,3,0,-0.008,false
0,21,3,0,-0.008,false
0,22,2,0,0.18,false
0,23,1,0,0.15,false
0,24,2,0,0.18,false
0,25,1,0,0.15,false
0,26,0,0,0.12,false
0,27,0,1,0.15,false
0,28,1,1,0.18,false
0,29,2,1,0.21,false
0,30,2,1,-0.008,false
0,31,2,1,-0.008,false
0,32,2,1,-0.008,false
0,33,1,1,0.18,false
0,34,2,1,0.21,false
0,35,2,0,0.18,false
0,36,2,0,-0.008,false
0,37,2,0,-0.008,false
0,38,3,0,0.21,false
0,39,3,0,-0.008,false
0,40,2,0,0.18,false
0,41,2,0,-0.008,false
0,42,2,0,-0.008,false
0,43,2,0,-0.008,false
0,44,3,0,0.21,false
0,45,3,0,-0.008,false
0,46,3,0,-0.008,false
0,47,4,0,0.24,false
0,48,4,1,0.27,false
0,49,4,1,-0.008,false
0,50,4,1,-0.008,false
0,51,4,1,-0.008,false
0,52,4,1,-0.008,false
0,53,4,1,-0.008,false
0,54,4,1,-0.008,false
0,55,4,1,-0.008,false
0,56,4,1,-0.008,false
0,57,4,1,-0.008,false
0,58,4,1,-0.008,false
0,59,4,0,0.24,false
0,60,3,0,0.21,false
0,61,2,0,0.18,false
0,62,2,0,-0.008,false
0,63,3,0,0.21,false
0,64,4,0,0.24,false
0,65,4,0,-0.008,false
0,66,3,0,0.21,false
0,67,3,0,-0.008,false
0,68,3,0,-0.008,false
0,69,4,0,0.24,false
0,70,4,0,-0.008,false
0,71,4,1,0.27,false
0,72,4,1,-0.008,false
0,73,4,1,-0.008,false
0,74,4,1,-0.008,false
0,75,4,1,-0.008,false
0,76,4,2,-0.15,false
0,77,4,1,0.27,false
0,78,4,2,-0.15,false
0,79,4,1,0.27,false
0,80,4,0,0.24,false
0,81,4,0,-0.008,false
0,82,3,0,0.21,false
0,83,2,0,0.18,false
0,84,3,0,0.21,false
0,85,4,0,0.24,false
0,86,4,0,-0.008,false
0,87,4,0,-0.008,false
0,88,3,0,0.21,false
0,89,3,0,-0.008,false
0,90,4,0,0.24,false
0,91,4,0,-0.008,false
0,92,4,1,0.27,false
0,93,4,1,-0.008,false
0,94,4,2,-0.15,false
0,95,4,2,-0.008,false
0,96,4,3,0.33,false
0,97,4,3,-0.008,false
0,98,4,2,-0.15,false
0,99,4,2,-0.008,false
1,0,0,1,0.15,false
1,1,0,2,0.18,false
1,2,0,1,0.15,false
1,3,1,1,0.18,false
1,4,1,1,-0.008,false
1,5,0,1,0.15,false
1,6,0,0,0.12,false
1,7,0,1,0.15,false
1,8,1,1,0.18,false
1,9,0,1,0.15,false
1,10,1,1,0.18,false
1,11,2,1,0.21,false
1,12,2,1,-0.008,false
1,13,2,1,-0.008,false
1,14,1,1,0.18,false
1,15,1,0,0.15,false
1,16,1,0,-0.008,false
1,17,1,1,0.18,false
1,18,2,1,0.21,false
1,19,2,1,-0.008,false
1,20,2,1,-0.008,false
1,21,2,1,-0.008,false
1,22,2,1,-0.008,false
1,23,2,1,-0.008,false
1,24,2,1,-0.008,false
1,25,2,1,-0.008,false
1,26,2,1,-0.008,false
1,27,2,0,0.18,false
1,28,1,0,0.15,false
1,29,2,0,0.18,false
1,30,3,0,0.21,false
1,31,4,0,0.24,false
1,32,4,0,-0.008,false
1,33,3,0,0.21,false
1,34,3,0,-0.008,false
1,35,3,0,-0.008,false
1,36,4,0,0.24,false
1,37,4,0,-0.008,false
1,38,3,0,0.21,false
1,39,3,0,-0.008,false
1,40,2,0,0.18,false
1,41,2,0,-0.008,false
1,42,1,0,0.15,false
1,43,1,1,0.18,false
1,44,1,1,-0.008,false
1,45,1,1,-0.008,false
1,46,2,1,0.21,false
1,47,2,0,0.18,false
1,48,2,1,0.21,false
1,49,1,1,0.18,false
1,50,0,1,0.15,false
1,51,0,1,-0.008,false
1,52,1,1,0.18,false
1,53,1,1,-0.008,false
1,54,1,0,0.15,false
1,55,2,0,0.18,false
1,56,2,1,0.21,false
1,57,2,1,-0.008,false
1,58,2,1,-0.008,false
1,59,2,1,-0.008,false
1,60,2,1,-0.008,false
1,61,2,1,-0.008,false
1,62,1,1,0.18,false
1,63,2,1,0.21,false
1,64,1,1,0.18,false
1,65,1,0,0.15,false
1,66,0,0,0.12,false
1,67,0,0,-0.008,false
1,68,1,0,0.15,false
1,69,1,1,0.18,false
1,70,1,1,-0.008,false
1,71,1,0,0.15,false
1,72,2,0,0.18,false
1,73,1,0,0.15,false
1,74,2,0,0.18,false
1,75,2,0,-0.008,false
1,76,1,0,0.15,false
1,77,2,0,0.18,false
1,78,2,0,-0.008,false
1,79,3,0,0.21,false
1,80,3,0,-0.008,false
1,81,4,0,0.24,false
1,82,4,0,-0.008,false
1,83,4,0,-0.008,false
1,84,4,0,-0.008,false
1,85,4,0,-0.008,false
1,86,4,0,-0.008,false
1,87,4,0,-0.008,false
1,88,4,0,-0.008,false
1,89,4,0,-0.008,false
1,90,4,0,-0.008,false
1,91,4,0,-0.008,false
1,92,3,0,0.21,false
1,93,4,0,0.24,false
1,94,3,0,0.21,false
1,95,3,0,-0.008,false
1,96,3,0,-0.008,false
1,97,4,0,0.24,false
1,98,4,1,0.27,false
1,99,4,0,0.24,false
2,0,0,0,-0.008,false
2,1,0,1,0.15,false
2,2,1,1,0.18,false
2,3,2,1,0.21,false
2,4,2,1,-0.008,false
2,5,2,0,0.18,false
2,6,3,0,0.21,false
2,7,3,0,-0.008,false
2,8,3,0,-0.008,false
2,9,3,0,-0.008,false
2,10,3,0,-0.008,false
2,11,3,0,-0.008,false
2,12,3,0,-0.008,false
2,13,4,0,0.24,false
2,14,3,0,0.21,false
2,15,4,0,0.24,false
2,16,4,0,-0.008,false
2,17,4,0,-0.008,false
2,18,4,0,-0.008,false
2,19,4,0,-0.008,false
2,20,4,0,-0.008,false
2,21,4,0,-0.008,false
2,22,4,0,-0.008,false
2,23,4,0,-0.008,false
2,24,4,0,-0.008,false
2,25,4,0,-0.008,false
2,26,4,0,-0.008,false
2,27,4,0,-0.008,false
2,28,3,0,0.21,false
2,29,3,0,-0.008,false
2,30,4,0,0.24,false
2,31,4,0,-0.008,false
2,32,4,0,-0.008,false
2,33,4,0,-0.008,false
2,34,4,0,-0.008,false
2,35,4,0,-0.008,false
2,36,4,0,-0.008,false
2,37,4,1,0.27,false
2,38,4,0,0.24,false
2,39,4,0,-0.008,false
2,40,4,0,-0.008,false
2,41,4,1,0.27,false
2,42,4,0,0.24,false
2,43,4,0,-0.008,false
2,44,4,0,-0.008,false
2,45,4,1,0.27,false
2,46,4,1,-0.008,false
2,47,4,1,-0.008,false
2,48,4,1,-0.008,false
2,49,4,1,-0.008,false
2,50,4,1,-0.008,false
2,51,4,1,-0.008,false
2,52,4,2,-0.15,false
2,53,4,1,0.27,false
2,54,4,1,-0.008,false
2,55,4,1,-0.008,false
2,56,4,1,-0.008,false
2,57,4,1,-0.008,false
2,58,4,1,-0.008,false
2,59,4,1,-0.008,false
2,60,4,1,-0.008,false
2,61,4,1,-0.008,false
2,62,4,1,-0.008,false
2,63,4,1,-0.008,false
2,64,4,0,0.24,false
2,65,4,0,-0.008,false
2,66,4,1,0.27,false
2,67,4,1,-0.008,false
2,68,4,1,-0.008,false
2,69,4,2,-0.15,false
2,70,4,2,-0.008,false
2,71,3,2,0.27,false
2,72,3,2,-0.008,false
2,73,4,2,-0.15,false
2,74,4,2,-0.008,false
2,75,3,2,0.27,false
2,76,3,2,-0.008,false
2,77,4,2,-0.15,false
2,78,4,2,-0.008,false
2,79,4,1,0.27,false
2,80,4,1,-0.008,false
2,81,4,1,-0.008,false
2,82,4,2,-0.15,false
2,83,4,1,0.27,false
2,84,4,1,-0.008,false
2,85,4,1,-0.008,false
2,86,4,1,-0.008,false
2,87,4,1,-0.008,false
2,88,4,0,0.24,false
2,89,3,0,0.21,false
2,90,4,0,0.24,false
2,91,4,0,-0.008,false
2,92,4,0,-0.008,false
2,93,4,0,-0.008,false
2,94,4,1,0.27,false
2,95,4,1,-0.008,false
2,96,4,1,-0.008,false
2,97,4,1,-0.008,false
2,98,4,1,-0.008,false
2,99,4,2,-0.15,false
3,0,0,1,0.15,false
3,1,1,1,0.18,false
3,2,2,1,0.21,false
3,3,2,1,-0.008,false
3,4,2,1,-0.008,false
3,5,2,1,-0.008,false
3,6,2,1,-0.008,false
3,7,2,1,-0.008,false
3,8,2,1,-0.008,false
3,9,2,1,-0.008,false
3,10,2,1,-0.008,false
3,11,2,1,-0.008,false
3,12,2,1,-0.008,false
3,13,1,1,0.18,false
3,14,2,1,0.21,false
3,15,2,1,-0.008,false
3,16,2,1,-0.008,false
3,17,2,1,-0.008,false
3,18,2,0,0.18,false
3,19,2,1,0.21,false
3,20,2,1,-0.008,false
3,21,2,1,-0.008,false
3,22,2,1,-0.008,false
3,23,2,1,-0.008,false
3,24,2,1,-0.008,false
3,25,2,1,-0.008,false
3,26,2,0,0.18,false
3,27,1,0,0.15,false
3,28,2,0,0.18,false
3,29,2,1,0.21,false
3,30,2,1,-0.008,false
3,31,1,1,0.18,false
3,32,1,1,-0.008,false
3,33,2,1,0.21,false
3,34,2,1,-0.008,false
3,35,2,1,-0.008,false
3,36,2,1,-0.008,false
3,37,2,1,-0.008,false
3,38,2,1,-0.008,false
3,39,2,1,-0.008,false
3,40,2,1,-0.008,false
3,41,2,1,-0.008,false
3,42,2,1,-0.008,false
3,43,2,1,-0.008,false
3,44,1,1,0.18,false
3,45,2,1,0.21,false
3,46,2,1,-0.008,false
3,47,2,1,-0.008,false
3,48,2,1,-0.008,false
3,49,2,1,-0.008,false
3,50,2,1,-0.008,false
3,51,2,1,-0.008,false
3,52,2,1,-0.008,false
3,53,2,0,0.18,false
3,54,2,0,-0.008,false
3,55,3,0,0.21,false
3,56,3,0,-0.008,false
3,57,2,0,0.18,false
3,58,2,1,0.21,false
3,59,2,1,-0.008,false
3,60,2,1,-0.008,false
3,61,2,1,-0.008,false
3,62,2,1,-0.008,false
3,63,2,1,-0.008,false
3,64,2,1,-0.008,false
3,65,2,1,-0.008,false
3,66,1,1,0.18,false
3,67,2,1,0.21,false
3,68,2,0,0.18,false
3,69,2,1,0.21,false
3,70,2,1,-0.008,false
3,71,2,1,-0.008,false
3,72,2,0,0.18,false
3,73,1,0,0.15,false
3,74,1,0,-0.008,false
3,75,2,0,0.18,false
3,76,2,0,-0.008,false
3,77,3,0,0.21,false
3,78,4,0,0.24,false
3,79,4,0,-0.008,false
3,80,4,0,-0.008,false
3,81,4,1,0.27,false
3,82,4,1,-0.008,false
3,83,4,1,-0.008,false
3,84,4,1,-0.008,false
3,85,4,1,-0.008,false
3,86,4,1,-0.008,false
3,87,4,1,-0.008,false
3,88,4,1,-0.008,false
3,89,4,1,-0.008,false
3,90,4,0,0.24,false
3,91,4,0,-0.008,false
3,92,4,0,-0.008,false
3,93,4,1,0.27,false
3,94,4,1,-0.008,false
3,95,4,0,0.24,false
3,96,4,0,-0.008,false
3,97,4,1,0.27,false
3,98,4,1,-0.008,false
3,99,4,1,-0.008,false
4,0,1,0,0.15,false
4,1,1,0,-0.008,false
4,2,2,0,0.18,false
4,3,2,1,0.21,false
4,4,2,1,-0.008,false
4,5,1,1,0.18,false
4,6,0,1,0.15,false
4,7,1,1,0.18,false
4,8,2,1,0.21,false
4,9,2,1,-0.008,false
4,10,2,1,-0.008,false
4,11,2,1,-0.008,false
4,12,2,1,-0.008,false
4,13,2,1,-0.008,false
