Episode,Step,X,Y,Reward,Done
0,0,1,0,0.15,false
0,1,0,0,0.12,false
0,2,1,0,0.15,false
0,3,1,0,-0.008,false
0,4,1,1,0.18,false
0,5,1,0,0.15,false
0,6,1,1,0.18,false
0,7,2,1,0.21,false
0,8,1,1,0.18,false
0,9,2,1,0.21,false
0,10,1,1,0.18,false
0,11,1,1,-0.008,false
0,12,2,1,0.21,false
0,13,2,1,-0.008,false
0,14,2,1,-0.008,false
0,15,1,1,0.18,false
0,16,1,1,-0.008,false
0,17,0,1,0.15,false
0,18,0,1,-0.008,false
0,19,1,1,0.18,false
0,20,2,1,0.21,false
0,21,2,0,0.18,false
0,22,2,1,0.21,false
0,23,2,1,-0.008,false
0,24,2,1,-0.008,false
0,25,2,1,-0.008,false
0,26,2,1,-0.008,false
0,27,2,1,-0.008,false
0,28,2,1,-0.008,false
0,29,2,1,-0.008,false
0,30,2,1,-0.008,false
0,31,1,1,0.18,false
0,32,1,1,-0.008,false
0,33,2,1,0.21,false
0,34,2,1,-0.008,false
0,35,2,1,-0.008,false
0,36,2,1,-0.008,false
0,37,1,1,0.18,false
0,38,2,1,0.21,false
0,39,2,0,0.18,false
0,40,2,0,-0.008,false
0,41,2,0,-0.008,false
0,42,3,0,0.21,false
0,43,4,0,0.24,false
0,44,4,0,-0.008,false
0,45,3,0,0.21,false
0,46,3,0,-0.008,false
0,47,4,0,0.24,false
0,48,4,1,0.27,false
0,49,4,1,-0.008,false
0,50,4,1,-0.008,false
0,51,4,1,-0.008,false
0,52,4,1,-0.008,false
0,53,4,1,-0.008,false
0,54,4,2,-0.15,false
0,55,4,1,0.27,false
0,56,4,1,-0.008,false
0,57,4,1,-0.008,false
0,58,4,1,-0.008,false
0,59,4,1,-0.008,false
0,60,4,0,0.24,false
0,61,4,0,-0.008,false
0,62,3,0,0.21,false
0,63,3,0,-0.008,false
0,64,4,0,0.24,false
0,65,4,0,-0.008,false
0,66,4,0,-0.008,false
0,67,4,0,-0.008,false
0,68,4,0,-0.008,false
0,69,3,0,0.21,false
0,70,2,0,0.18,false
0,71,2,1,0.21,false
0,72,2,0,0.18,false
0,73,2,0,-0.008,false
0,74,1,0,0.15,false
0,75,0,0,0.12,false
0,76,1,0,0.15,false
0,77,2,0,0.18,false
0,78,1,0,0.15,false
0,79,2,0,0.18,false
0,80,3,0,0.21,false
0,81,3,0,-0.008,false
0,82,3,0,-0.008,false
0,83,4,0,0.24,false
0,84,4,0,-0.008,false
0,85,4,0,-0.008,false
0,86,4,0,-0.008,false
0,87,4,0,-0.008,false
0,88,3,0,0.21,false
0,89,4,0,0.24,false
0,90,4,0,-0.008,false
0,91,3,0,0.21,false
0,92,3,0,-0.008,false
0,93,3,0,-0.008,false
0,94,4,0,0.24,false
0,95,4,0,-0.008,false
0,96,4,0,-0.008,false
0,97,3,0,0.21,false
0,98,2,0,0.18,false
0,99,3,0,0.21,false
1,0,0,1,0.15,false
1,1,1,1,0.18,false
1,2,0,1,0.15,false
1,3,0,0,0.12,false
1,4,1,0,0.15,false
1,5,1,1,0.18,false
1,6,1,0,0.15,false
1,7,2,0,0.18,false
1,8,2,1,0.21,false
1,9,2,1,-0.008,false
1,10,2,1,-0.008,false
1,11,2,0,0.18,false
1,12,2,1,0.21,false
1,13,2,0,0.18,false
1,14,3,0,0.21,false
1,15,2,0,0.18,false
1,16,3,0,0.21,false
1,17,4,0,0.24,false
1,18,4,0,-0.008,false
1,19,4,0,-0.008,false
1,20,4,0,-0.008,false
1,21,4,0,-0.008,false
1,22,3,0,0.21,false
1,23,3,0,-0.008,false
1,24,2,0,0.18,false
1,25,2,1,0.21,false
1,26,1,1,0.18,false
1,27,0,1,0.15,false
1,28,0,1,-0.008,false
1,29,1,1,0.18,false
1,30,1,0,0.15,false
1,31,0,0,0.12,false
1,32,0,0,-0.008,false
1,33,0,0,-0.008,false
1,34,1,0,0.15,false
1,35,2,0,0.18,false
1,36,2,0,-0.008,false
1,37,3,0,0.21,false
1,38,2,0,0.18,false
1,39,3,0,0.21,false
1,40,3,0,-0.008,false
1,41,4,0,0.24,false
1,42,4,0,-0.008,false
